pl_name,pl_discmethod,pl_orbper,pl_radj,pl_bmassj,pl_dens
Kepler-138 c,Transit,13.78130000,0.107,0.00620,6.20000
Kepler-138 d,Transit,23.08810000,0.108,0.00201,2.10000
Kepler-139 b,Transit,15.77104400,0.262,,
Kepler-139 c,Transit,157.07287800,0.302,,
Kepler-140 b,Transit,3.25427000,0.144,,
Kepler-140 c,Transit,91.35328200,0.161,,
Kepler-141 b,Transit,3.10767500,0.062,,
Kepler-141 c,Transit,7.01060600,0.126,,
Kepler-142 b,Transit,2.02415200,0.178,,
Kepler-142 c,Transit,4.76170200,0.255,,
Kepler-142 d,Transit,41.80911800,0.193,,
Kepler-143 b,Transit,16.00758300,0.215,,
Kepler-143 c,Transit,27.08251100,0.301,,
Kepler-144 b,Transit,5.88527300,0.119,,
Kepler-144 c,Transit,10.10466500,0.120,,
Kepler-145 b,Transit,22.95100000,0.236,0.11700,
Kepler-145 c,Transit,42.88200000,0.385,0.25000,
Kepler-146 b,Transit,31.15879900,0.331,,
HAT-P-38 b,Transit,4.64038200,0.825,0.26700,0.59000
HAT-P-39 b,Transit,3.54387000,1.571,0.59900,0.19000
HAT-P-40 b,Transit,4.45724000,1.520,0.48000,
HAT-P-41 b,Transit,2.69405000,2.050,1.19000,
HAT-P-42 b,Transit,4.64187800,1.280,1.04400,0.61000
HAT-P-43 b,Transit,3.33268700,1.281,0.66200,0.39000
HAT-P-44 b,Transit,4.30121900,1.242,0.35200,0.23000
HAT-P-44 c,Radial Velocity,872.20000000,,4.00000,
HAT-P-45 b,Transit,3.12899200,1.426,0.89200,0.38000
HAT-P-46 b,Transit,4.46312900,1.284,0.49300,0.28000
HAT-P-49 b,Transit,2.69155000,1.590,2.20000,
HAT-P-54 b,Transit,3.79984700,0.944,0.76000,1.11800
HATS-1 b,Transit,3.44645900,1.302,1.85500,1.03000
HATS-2 b,Transit,1.35413300,1.168,1.34500,1.05000
HATS-3 b,Transit,3.54785100,1.381,1.07100,0.51000
HATS-4 b,Transit,2.51672900,1.020,1.32300,1.55000
HATS-5 b,Transit,4.76338700,0.912,0.23700,0.39000
HATS-6 b,Transit,3.32527250,0.998,0.31900,0.39900
HD 142 b,Radial Velocity,349.70000000,,1.25000,
HD 85390 b,Radial Velocity,799.52000000,,0.09900,
HD 85512 b,Radial Velocity,58.43000000,,0.01000,
HD 86081 b,Radial Velocity,2.13784310,,1.48000,
HD 86226 b,Radial Velocity,1628.00000000,,0.45000,
HD 86264 b,Radial Velocity,1475.00000000,,7.00000,
HD 87883 b,Radial Velocity,2754.00000000,,1.54000,
HD 88133 b,Radial Velocity,3.41488400,,0.28450,
HD 89307 b,Radial Velocity,2166.00000000,,2.11000,
